person,position,country
Errol Charles,Governor-General,Saint Lucia
Philip J. Pierre,Prime Minister,Saint Lucia
Stanley John,Governor-General,Saint Vincent and the Grenadines
Godwin Friday,Prime Minister,Saint Vincent and the Grenadines
Laʻauli Leuatea Schmidt,Prime Minister,Samoa
Luca Beccari,Secretary for Foreign and Political Affairs,State for Foreign and Political Affairs
Américo Ramos,Prime Minister,São Tomé and Príncipe
Salman,King,Saudi Arabia
Mohammed bin Salman,Prime Minister,Saudi Arabia
Bassirou Diomaye Faye,President,Senegal
Aleksandar Vučić,President,Serbia
Đuro Macut,Prime Minister,Serbia
Patrick Herminie,President,Seychelles
Julius Maada Bio,President,Sierra Leone
Lawrence Wong,Prime Minister,Singapore
Robert Fico,Prime Minister,Slovakia
Robert Golob,Prime Minister,Slovenia
David Tiva Kapu,Governor-General,Solomon Islands
Jeremiah Manele,Prime Minister,Solomon Islands
Hassan Sheikh Mohamud,President,Somalia
Hamza Abdi Barre,Prime Minister,Somalia
Cyril Ramaphosa,President,South Africa
Lee Jae Myung,President,South Korea
Salva Kiir Mayardit,President,South Sudan
Pedro Sánchez,Prime Minister,Spain
Anura Kumara Dissanayake,President,Sri Lanka
Jennifer Geerlings-Simons,President,Suriname
Ulf Kristersson,Prime Minister,Sweden
Ahmed al-Sharaa,President,Syria
Emomali Rahmon,President,Tajikistan
Samia Suluhu Hassan,President,Tanzania
Anutin Charnvirakul,Prime Minister,Thailand
Xanana Gusmão,Prime Minister,Timor-Leste
Faure Gnassingbé,Prime Minister,Togo
Fatafehi Fakafānua,Prime Minister,Tonga
Kamla Persad-Bissessar,Prime Minister,Trinidad and Tobago
Kaïs Saïed,President,Tunisia
Recep Tayyip Erdoğan,President,Turkey
Serdar Berdimuhamedow,President,Turkmenistan
Tofiga Vaevalu Falani,Governor-General,Tuvalu
Feleti Teo,Prime Minister,Tuvalu
Yoweri Museveni,President,Uganda
Volodymyr Zelenskyy,President,Ukraine
Mohamed bin Zayed Al Nahyan,President,United Arab Emirates
Keir Starmer,Prime Minister,United Kingdom
Donald Trump,President,United States
Yamandú Orsi,President,Uruguay
Shavkat Mirziyoyev,President,Uzbekistan
Jotham Napat,Prime Minister,Vanuatu
Leo XIV,Pope,sovereigns of Vatican City State
Rashad al-Alimi,Chairman of the Presidential Leadership Council,Yemen
Hakainde Hichilema,President,Zambia
Emmerson Mnangagwa,President,Zimbabwe
Mark Brown,Prime Minister,Cook Islands
Cindy Kiro,King's Representative,New Zealand
Dalton Tagelagi,Prime Minister,Niue
Badra Gunba,President,Abkhazia
Lai Ching-te,President,Republic of China
Albin Kurti,Prime Minister,Kosovo
Tufan Erhürman,President,Northern Cyprus
Abdirahman Mohamed Abdullahi,President,Somaliland
Alan Gagloyev,President,South Ossetia
Vadim Krasnoselsky,President,Transnistria
Mahdi al-Mashat,Chairman,Yemen
Osama Hammad,Prime Minister,Libya
Sviatlana Tsikhanouskaya,Cabinet,Belarus
Ursula von der Leyen,President,European Commission
John T. Dunlap,Prince and Grand Master,grand masters of the Knights Hospitaller#Sovereign Military Order of Malta
