person,position,country,wikidata_id,gender
Alexandru Munteanu,Prime Minister,Moldova,Q136489383,male
Gombojavyn Zandanshatar,Prime Minister,Mongolia,Q4142905,male
Milojko Spajić,Prime Minister,Montenegro,Q101225458,male
Daniel Chapo,President,Mozambique,Q97058466,male
Min Aung Hlaing,President,Myanmar,Q3462649,male
Netumbo Nandi-Ndaitwah,President,Namibia,Q527020,female
David Adeang,President,Nauru,Q58096,male
Sushila Karki,Prime Minister,Nepal,Q23842116,female
Dick Schoof,Prime Minister,Netherlands,Q22338116,male
Cindy Kiro,Governor-General,New Zealand,Q17180701,female
Christopher Luxon,Prime Minister,New Zealand,Q74370310,male
Daniel Ortega,Co-Presidents,Nicaragua,Q57402,male
Rosario Murillo,Co-Presidents,Nicaragua,Q3034382,female
Bola Tinubu,President,Nigeria,Q3510872,male
Hristijan Mickoski,Prime Minister,North Macedonia,Q46675558,male
Jonas Gahr Støre,Prime Minister,Norway,Q467948,male
Haitham bin Tariq,Sultan and Prime Minister,Oman,Q12250314,male
Shehbaz Sharif,Prime Minister,Pakistan,Q2096387,male
Surangel Whipps Jr.,President,Palau,Q26703072,male
Mahmoud Abbas,President,Palestine,Q127998,male
José Raúl Mulino,President,Panama,Q108454869,male
Bob Dadae,Governor-General,Papua New Guinea,Q28647870,male
James Marape,Prime Minister,Papua New Guinea,Q6138903,male
Santiago Peña,President,Paraguay,Q22695687,male
José María Balcázar,President,Peru,Q108414587,male
Bongbong Marcos,President,Philippines,Q983324,male
Donald Tusk,Prime Minister,Poland,Q946,male
Luís Montenegro,Prime Minister,Portugal,Q11764394,male
Tamim bin Hamad Al Thani,Emir,Qatar,Q1855372,male
Ilie Bolojan,Prime Minister,Romania,Q18538164,male
Vladimir Putin,President,Russia,Q7747,male
Paul Kagame,President,Rwanda,Q1231345,male
Marcella Liburd,Governor-General,Saint Kitts and Nevis,Q26716216,female
Terrance Drew,Prime Minister,Saint Kitts and Nevis,Q113443525,male
Errol Charles,Governor-General,Saint Lucia,Q109557998,male
Philip J. Pierre,Prime Minister,Saint Lucia,Q7184214,male
Stanley John,Governor-General,Saint Vincent and the Grenadines,Q20684253,male
Godwin Friday,Prime Minister,Saint Vincent and the Grenadines,Q28319076,male
Laʻauli Leuatea Schmidt,Prime Minister,Samoa,Q16734600,male
Luca Beccari,Secretary for Foreign and Political Affairs,State for Foreign and Political Affairs,Q15998324,male
Américo Ramos,Prime Minister,São Tomé and Príncipe,Q131749390,male
Mohammed bin Salman,Prime Minister,Saudi Arabia,Q6892571,male
Bassirou Diomaye Faye,President,Senegal,Q124382437,male
Aleksandar Vučić,President,Serbia,Q222031,male
Đuro Macut,Prime Minister,Serbia,Q42478807,male
Patrick Herminie,President,Seychelles,Q16190544,male
Julius Maada Bio,President,Sierra Leone,Q283829,male
Lawrence Wong,Prime Minister,Singapore,Q6504758,male
Robert Fico,Prime Minister,Slovakia,Q57606,male
Robert Golob,Prime Minister,Slovenia,Q18645045,male
David Tiva Kapu,Governor-General,Solomon Islands,Q126719605,male
Jeremiah Manele,Prime Minister,Solomon Islands,Q6180897,male
Hassan Sheikh Mohamud,President,Somalia,Q319153,male
Hamza Abdi Barre,Prime Minister,Somalia,Q112598575,male
Cyril Ramaphosa,President,South Africa,Q1148669,male
Lee Jae Myung,President,South Korea,Q12612463,male
Salva Kiir Mayardit,President,South Sudan,Q57315,male
Pedro Sánchez,Prime Minister,Spain,Q6070218,male
Anura Kumara Dissanayake,President,Sri Lanka,Q4777855,male
Jennifer Geerlings-Simons,President,Suriname,Q440403,female
Ulf Kristersson,Prime Minister,Sweden,Q1780398,male
Ahmed al-Sharaa,President,Syria,Q7934206,male
Emomali Rahmon,President,Tajikistan,Q57366,male
Samia Suluhu Hassan,President,Tanzania,Q16193885,female
Anutin Charnvirakul,Prime Minister,Thailand,Q16139757,male
Xanana Gusmão,Prime Minister,Timor-Leste,Q11509,male
Faure Gnassingbé,Prime Minister,Togo,Q4414,male
Fatafehi Fakafānua,Prime Minister,Tonga,Q5437258,male
Kamla Persad-Bissessar,Prime Minister,Trinidad and Tobago,Q57712,female
Recep Tayyip Erdoğan,President,Turkey,Q39259,male
Serdar Berdimuhamedow,President,Turkmenistan,Q51874548,male
Tofiga Vaevalu Falani,Governor-General,Tuvalu,Q108906680,male
Feleti Teo,Prime Minister,Tuvalu,Q5441662,male
Yoweri Museveni,President,Uganda,Q57274,male
Volodymyr Zelenskyy,President,Ukraine,Q3874799,male
